2020-07-20	IBM	Time Not Supplied	125.69	4867273.93
2020-07-21	UTX	Before Market Open	57.76	3161667.65
2020-07-21	COF	Time Not Supplied	65.61	3567380.67
2020-07-21	PM	Time Not Supplied	78.33	6145076.58
2020-07-22	CSX	Time Not Supplied	71.25	6464020.17
2020-07-22	MSFT	Time Not Supplied	202.8	60185737.6
2020-07-22	DFS	Time Not Supplied	51.6	4319470.97
2020-07-22	TSLA	Time Not Supplied	1485.61	6128385.9
2020-07-23	BX	Time Not Supplied	55.1	4285074.93
2020-07-23	EW	Time Not Supplied	78.66	5425311.65
2020-07-23	UNP	Time Not Supplied	176.29	4097891.08
2020-07-23	INTC	Time Not Supplied	50.01	51574614.3
2020-07-23	CTXS	Time Not Supplied	141.86	3837612.36
2020-07-23	VRSN	Time Not Supplied	209.3	3120749.6
2020-07-24	AXP	Time Not Supplied	95.36	5138794.48
2020-07-24	VZ	Time Not Supplied	56.83	8237611.98


2020-07-27	BYND	After Market Close	125.09	7349516.4
2020-07-27	FFIV	After Market Close	152.34	1679848.91
2020-07-27	NXPI	After Market Close	115.75	3258105.18

2020-07-28	MMM	Before Market Open	159.84	2155698.64
2020-07-28	AKAM	After Market Close	111.74	2970747.4
2020-07-28	AMD	After Market Close	69.4	14901355.51
2020-07-28	AMGN	After Market Close	247.98	8412953.83
2020-07-28	CB	After Market Close	134.91	1497172.15
2020-07-28	CNC	TAS	67.51	2811219.32
2020-07-28	FTV	After Market Close	71.0	2033351.96
2020-07-28	CE	After Market Close	92.43	1321329.23
2020-07-28	MCD	Before Market Open	198.72	4373401.54
2020-07-28	RTX	Before Market Open	62.07	4864111.25
2020-07-28	OTIS	TAS	58.13	4524589.89
2020-07-28	OTIS	TAS	58.13	4524589.89
2020-07-28	SBUX	After Market Close	75.78	15695102.56
2020-07-28	CHRW	After Market Close	86.07	1290733.33
2020-07-28	DHI	Before Market Open	63.75	3786553.11
2020-07-28	EBAY	After Market Close	55.12	37601246.16
2020-07-28	EDU	Before Market Open	138.05	1672595.47
2020-07-28	EIX	After Market Close	56.02	1270225.05
2020-07-28	EQR	After Market Close	54.34	1622748.86
2020-07-28	SPGI	Before Market Open	349.97	1220155.95
2020-07-28	GRUB	Time Not Supplied	68.85	2190198.55
2020-07-28	LW	Before Market Open	67.79	1358994.52
2020-07-28	MXIM	After Market Close	67.13	3245581.95
2020-07-28	V	After Market Close	195.15	17051042.83
2020-07-28	YNDX	TAS	56.22	2759354.12
2020-07-28	TRU	TAS	89.73	1131692.5
2020-07-29	AMP	After Market Close	155.26	1669997.41
2020-07-29	ANTM	TAS	270.49	2946498.43
2020-07-29	FBHS	After Market Close	71.0	1413375.94
2020-07-29	BA	Before Market Open	173.76	3168128.16
2020-07-29	CTSH	After Market Close	61.8	6065874.72
2020-07-29	YUMC	TAS	52.64	2788495.57
2020-07-29	CERN	After Market Close	71.79	2725367.76
2020-07-29	ETN	Before Market Open	93.61	1584230.92
2020-07-29	LRCX	After Market Close	345.72	2244572.05
2020-07-29	NSC	Before Market Open	187.01	1591339.98
2020-07-29	GD	Before Market Open	150.15	1449316.72
2020-07-29	TEL	Before Market Open	87.27	2270794.34
2020-07-29	CXO	After Market Close	53.46	1345989.62
2020-07-29	CGNX	After Market Close	64.22	1210180.49
2020-07-29	CCI	After Market Close	166.7	1844761.87
2020-07-29	OC	Before Market Open	61.76	1453187.41
2020-07-29	D	Before Market Open	80.41	1789948.57
2020-07-29	FB	After Market Close	230.71	32715972.37
2020-07-29	GRMN	Before Market Open	96.74	1601257.54
2020-07-29	TDOC	After Market Close	212.85	1174845.73
2020-07-29	HOLX	After Market Close	61.75	1752620.35
2020-07-29	QCOM	After Market Close	88.89	18624613.42
2020-07-29	QRVO	After Market Close	111.92	1683232.21
2020-07-29	NOW	After Market Close	425.19	1714464.24
2020-07-29	URI	After Market Close	160.88	1288469.08
2020-07-29	PTC	After Market Close	81.46	1168982.47
2020-07-29	SHOP	Before Market Open	929.81	1653406.82
2020-07-29	SPOT	Before Market Open	268.74	1891709.78

2020-07-30	GOOGL	After Market Close	1508.21	6948835.75
2020-07-30	AMZN	After Market Close	3008.91	7521294.45
2020-07-30	APO	Before Market Open	52.02	1083239.56
