2021-01-21	IBM	After Market Close	131.65	4868933.3
2021-01-21	TRV	Before Market Open	148.72	1382638.48
2021-01-21	INTC	After Market Close	62.46	51401156.12
2021-01-21	UNP	TAS	207.9	4081667.86
2021-01-21	CSX	After Market Close	91.61	6432926.28
2021-01-21	TFC	Before Market Open	51.07	2115631.9
2021-01-21	TAL	Before Market Open	78.04	2819036.76
2021-01-21	PPG	After Market Close	143.53	1348336.14
2021-01-21	ISRG	After Market Close	798.67	1425301.95
2021-01-21	STX	After Market Close	62.94	6382484.79
2021-01-22	EDU	Before Market Open	182.89	1649587.24
2021-01-25	KMB	Before Market Open	131.01	1507077.41
2021-01-26	MMM	Before Market Open	170.67	2159608.52
2021-01-26	ADM	Before Market Open	52.79	2901882.9
2021-01-26	AXP	Before Market Open	127.43	5128302.78
2021-01-26	ALK	Before Market Open	54.96	1163429.48
2021-01-26	AMD	After Market Close	91.53	15347927.32
2021-01-26	VZ	Before Market Open	57.27	8323709.01
2021-01-26	SBUX	After Market Close	104.58	15542358.83
2021-01-26	RTX	Before Market Open	68.11	4902474.23
2021-01-26	MSFT	After Market Close	224.97	59771842.72
2021-01-26	CHRW	After Market Close	97.95	1292076.47
2021-01-26	COF	After Market Close	108.54	3556318.36
2021-01-26	DHI	Before Market Open	76.57	3776466.89
2021-01-26	NEE	Before Market Open	83.71	4828480.47
2021-01-26	FFIV	After Market Close	201.0	1658825.18
2021-01-26	VAR	After Market Close	175.6	1302907.0
2021-01-26	MXIM	After Market Close	96.03	3238254.72
2021-01-26	PLD	Before Market Open	100.43	1682642.93
2021-01-26	XLNX	Time Not Supplied	141.16	5746214.03
2021-01-26	PCAR	Before Market Open	98.74	1755146.68
2021-01-26	JNJ	Before Market Open	161.73	5508625.89
2021-01-27	AMP	After Market Close	211.94	1637403.27
2021-01-27	ANTM	TAS	321.7	2902323.66
2021-01-27	AAPL	After Market Close	136.87	339019769.78
2021-01-27	ABT	Before Market Open	112.95	8231518.04
2021-01-27	APH	Before Market Open	133.1	1862518.53
2021-01-27	BX	Before Market Open	65.69	4230134.5
2021-01-27	EAT	Before Market Open	61.82	1126046.44
2021-01-27	BA	Before Market Open	207.41	3329573.83
2021-01-27	SYK	TAS	243.6	1417685.86
2021-01-27	LVS	After Market Close	55.38	9447145.91
2021-01-27	EW	After Market Close	87.23	5342198.68
2021-01-27	NSC	Before Market Open	245.36	1587335.7
2021-01-27	LRCX	After Market Close	564.19	2235462.83
2021-01-27	TEL	Before Market Open	130.31	2246683.32
2021-01-27	GD	Before Market Open	151.06	1447979.53
